link,text,title,type
http://www.juzizhai.com/ju/2913.html,生命的路是进步的，总是沿着无限的精神三角形的斜面向上走，什么都阻止他不得。——鲁迅养成他们有耐劳作的体力，纯洁高尚的道德，广博自由能容纳新潮流的精神，也就是能在世界新潮流中游泳，不被淹没的力量。——鲁迅天才并不是自生自长在深林荒野里的怪物，是由可以使天才生长的民众产生、长育出来的，所以没有这种民众..,鲁迅名言 鲁迅名句 鲁迅经典句子,名人名言
http://www.juzizhai.com/ju/2912.html,志不强者智不达。——墨翟天行健，君子以自强不息。——文天祥积土而为山，积水而为海。——荀子苟利国家生死以，岂因祸福避趋之。——林则徐一寸光阴一寸金，寸金难买寸光阴。——增广贤文不傲才以骄人，不以宠而作威。——诸葛亮顽强的毅力可以征服世界上任何一座高峰＊—狄更斯欲穷千里目，更上一层楼。——王之涣胜利..,励志名人名言 励志经典句子语录,名人名言
http://www.juzizhai.com/ju/2910.html,发明的秘诀在于不断的努力。——牛顿真理的大海，让未发现的一切事物躺卧在我的眼前，任我去探寻。——牛顿我不知道世上的人对我怎样评价。我却这样认为：我好像是在海上玩耍，时而发现了一个光滑的石子儿，时而发现一个美丽的贝壳而为之高兴的孩子。尽管如此，那真理的海洋还神秘地展现在我们面前。——牛顿我的成就，当..,牛顿名言名句,名人名言
http://www.juzizhai.com/ju/2909.html,志士惜日短，愁人知夜长。——傅玄莫等闲，白了少年头，空悲切。——岳飞利用时间是一个极其高级的规律。——恩格斯少壮不努力，老大徒伤悲。——《汉乐府长歌行》完成工作的方法是爱惜每一分钟。——达尔文吾生也有涯，而知也无涯。——庄子落日无边江不尽，此身此日更须忙。——陈师道抛弃时间的人，时间也抛弃他。——..,珍惜时间的句子 与时间有关的名人名言名句大全,名人名言
http://www.juzizhai.com/ju/2908.html,人类的历史，就是一个不断地从必然王国向自由王国发展的历史——毛泽东名句天下大乱，达到天下大治。——毛泽东名言学习的敌人是自己的满足，要认真学习一点东西，必须从不自满开始。对自己，学而不厌，对人家，诲人不倦，我们应采取这种态度——毛泽东名句发展体育运动，增强人民体质。——毛泽东从孔夫子到孙中山，我们..,"毛泽东名言,毛泽东的名言 名句 语录 诗句",名人名言
http://www.juzizhai.com/ju/2906.html,近朱者赤，近墨者黑。——付玄海内存知已，天涯若比邻。——王勃人生乐在相知心。——王安石珍珠挂在颈上，友谊嵌在心上——谚语布衣之交不可忘。——李延寿未言心相醉，不再接杯酒。——陶渊明友谊是培养人的感情的学校。——苏霍姆林斯基于患难风豪杰。——魏禧挚友如异体同心。——亚里士多德换我心，为你心，始知相忆..,友情的名言名句 友情的经典句子语录,名人名言
http://www.juzizhai.com/ju/2905.html,行动生困难；困难生疑问；疑问生假设；假设生试验；试验生断语；断语又生了行动，如此演进于无穷。——陶行知名句手脑双全，是创造教育的目的。中国教育革命的对策是使手脑联盟。——陶行知要解放孩子的头脑、双手、脚、空间、时间，使他们充分得到自由的生活，从自由的生活中得到真正的教育。——陶行知名句要人敬者，必..,陶行知名句名言,名人名言
http://www.juzizhai.com/ju/2904.html,失信就是失败。——左拉没有诚实哪来尊严——西塞罗言必信，行必果。——子路诚信为人之本。——鲁迅诚信者，天下之结也。——《墨子》一言既出，驷马难追。——中国谚语不信不立，不诚不行。——晁说之人背信则名不达。——刘向人而无信，不知其可也。——孔子一言之美，贵于千金。——葛洪祸莫大于无信。——傅玄丈夫一..,诚实的经典句子 诚实名句名言大全 诚实的经典语录,名人名言
http://www.juzizhai.com/ju/2902.html,形成天才的决定因素应该是勤奋。有几分勤学苦练是成正比例的。——郭沫若形成天才的决定因素应该是勤奋。——郭沫若天才这个字本来含意极其暖昧，它的定义，决不是所谓生而知之，不学而能的。天地间生而知之的人没有。不学而能的人也没有。天才多半由于努力养成。天才多半由于细心养成。——郭沫若科学也需要创造，需要幻..,郭沫若名言名句,名人名言
http://www.juzizhai.com/ju/2901.html,爱国如饥渴。——范晔位卑未敢忘忧国。——陆游国耻未雪，何由成名？——李白近乡情更切，不敢问来人。——宋之问苟利国家，不求富贵。——《礼记儒行》祖国如有难，汝应作前锋。——陈毅精忠报国。——《宋史岳飞列传》常思奋不顾身，而殉国家之急。——司马迁当须徇忠义，身死报国恩。——李希仲锦绣河山收拾好，万民尽..,爱国的名言名句 爱国的经典语录语句文字大全,名人名言
